"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"votação";0;0;0;0;0;2;0;15;0;0;0;0;2;3;0;0;0;1
"operação";0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;0;6
"entender";0;0;0;0;1;6;0;0;0;2;6;0;4;1;0;0;0;1
"constituição";0;0;5;0;0;20;0;2;0;0;3;0;2;3;0;0;0;0
"defender";1;0;2;0;0;4;2;1;1;1;1;0;0;4;0;0;0;1
"público";0;5;1;0;2;6;0;3;0;8;3;0;1;14;0;18;0;10
"lei";1;1;2;0;2;19;1;3;0;2;3;1;0;10;0;1;0;1
"claro";0;1;3;0;0;5;0;1;0;1;1;0;1;3;0;0;0;3
"meio";0;2;0;1;3;1;2;2;0;1;1;0;0;9;0;0;0;4
"querido";0;0;1;0;3;3;0;0;0;0;7;0;0;0;0;0;0;1
"animal";0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0
"sim";0;1;1;4;1;1;0;5;0;2;3;0;5;5;1;0;0;3
"especial";0;2;0;0;4;2;0;0;0;0;1;2;0;1;0;0;0;2
"de";6;9;1;5;5;11;1;11;2;10;27;4;11;36;0;1;0;11
"sessão";0;1;0;0;1;0;0;8;0;0;4;0;0;1;0;0;0;0
"dever";0;0;2;2;1;4;0;3;0;2;2;0;6;3;0;0;0;3
"dar";0;2;5;3;6;5;0;5;0;1;6;3;2;18;0;1;0;4
"mandato";0;0;1;0;8;3;3;0;0;0;4;0;0;4;0;0;0;0
"importante";1;3;0;5;6;3;3;1;0;6;9;1;8;18;0;2;0;5
"senhor";0;3;0;0;1;4;0;4;0;0;4;0;0;0;0;0;0;5
"agricultura";0;1;0;0;0;0;1;2;0;5;1;0;0;1;0;0;0;0
