"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"chique";-0,333901105986403;1,85848738782115;-0,35078048277591;0,507196866149705;-0,168094101307488;0,935608662703314;-0,176591598384296;0,255335486684134;0,0364291468106022;0,89799494127307;0,0244058657634378;0,0411700461528921;0,000352774945696879;0,0109290208612021;0,000389343439775637;0,000813982637743607;0,00316418610101957;1,31402966774495;0,00546351776963265
"direito";0,324250499482869;0,442733315564393;-0,0253257458110941;-0,769342356822982;0,342996413040481;0,468329083268318;-0,0267899046713395;-0,813820392601537;0,190676642063997;0,282853765087593;0,000706107404027137;0,525763485444381;0,000258749105204815;0,000482394065735784;1,57849073229242e-06;0,00145665544381117;0,00246103363412633;0,557755317322163;0,000765605399510615
"comissão";0,323723215711314;-0,261794637000857;0,431442114093597;-1,12866588856467;0,253298491662423;-0,204842233918631;0,337583563475444;-0,883129022847731;0,116925614444931;0,0608449907215134;0,126071561042865;0,696157833790689;0,000270189599037903;0,000176702391090242;0,000479916858302843;0,00328436741312648;0,00257822571194187;0,711100245394404;0,00130371478940579
"parabéns";0,3044032513806;-1,00708733236025;1,82595840461552;1,70535704610765;0,112286537026502;-0,371488637263608;0,673549132865079;0,629062390867014;0,0213111430519157;0,18560249324469;0,465478923386502;0,327607440316894;0,000249761022779194;0,00273375982479915;0,00898685739996246;0,00783892898843401;0,00269541778975741;1,56623789629702;0,00661213247384611
"nacional";0,316673967814718;-0,602361717386767;-0,0219451438822512;-0,529000639856839;0,367272026727707;-0,698606867796786;-0,0254515315107343;-0,613524182240802;0,190525564594001;0,548510094524832;0,000555412290291761;0,260408928590876;0,000270302970057998;0,00097800441663918;1,29808447442779e-06;0,00075429023441764;0,00269541778975741;0,54493857046298;0,000800425998863171
"meio";0,306948883065092;-0,725790961475803;-0,827264319927242;0,531896998940564;0,243558774609754;-0,575902917237185;-0,656420319982474;0,422051320033953;0,0882713212453063;0,392691944318744;0,389211971456433;0,129824762979521;0,000121457141095041;0,000679069227394783;0,000882225337545002;0,000364708612715547;0,00128911285597094;0,776011320675494;0,000776295472633512
"líder";-3,70280156545805;0,317989294672515;-0,1483165392675;-0,0590099586715581;-0,995415011703681;0,0854842777509007;-0,0398715694213942;-0,0158635016387697;0,993081662027612;0,0058276096369153;0,000967193439990459;0,000123534895477855;0,0401697510639828;0,000296253344446043;6,44491849885384e-05;1,02020837408268e-05;0,00292980194538849;2,79093531194314;0,0228211646415422
"entidade";0,286476183882509;-1,83509349963564;-2,50280695096916;2,02857814234135;0,0770364282714991;-0,493475746710427;-0,673030845156819;0,54550578144989;0,00956552113983538;0,312312489890313;0,443196564814646;0,234925424155208;0,000192355804363964;0,00789304617931552;0,0146819234356488;0,00964521101508286;0,00234384155631079;2,20011822219842;0,0113454123793497
"atender";0,303547296251481;-1,0822307341407;-1,0186496141486;0,663588933803769;0,183334080111496;-0,65363710552604;-0,615235886703939;0,400789162853526;0,0492829741199468;0,498454207543718;0,33690225000072;0,115360568335617;0,000118780097466006;0,00150983909306291;0,00133764413458994;0,000567661198140753;0,00128911285597094;1,02704560307945;0,00135978546570411
"trabalhador";0,324699510356971;-0,612995205786517;0,391632032442222;-1,60069590920568;0,181603484158308;-0,342846421359811;0,21903864752157;-0,895264528948989;0,0601599680948708;0,170608181785463;0,0531264544906366;0,716105395629031;0,000222399612852341;0,00079265629927465;0,000323539397518676;0,00540490953796558;0,00210945740067971;0,994350847399233;0,00208569142611324
