"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"543";543;0;0;0;0;0;0;0;3;3
"544";544;0;0;0;0;0;0;0;3;3
"545";545;0;0;0;0;0;0;4;4;4
"546";546;0;0;0;0;0;0;0;3;3
"547";547;0;0;0;0;0;0;4;4;4
"548";548;0;0;0;0;0;0;4;4;4
"549";549;5;5;5;5;5;5;5;5;5
"550";550;5;5;5;5;5;5;5;5;5
"551";551;0;0;0;0;0;0;0;3;3
"552";552;0;0;0;0;0;0;0;3;3
"553";553;0;0;0;0;0;0;0;3;3
"554";554;0;0;0;0;0;0;0;3;3
"555";555;0;0;0;0;0;0;0;2;2
"556";556;0;0;0;0;0;0;0;3;3
"557";557;0;0;0;0;0;0;0;3;3
"558";558;0;0;0;0;0;0;0;0;0
"559";559;5;5;5;5;5;5;5;5;5
"560";560;5;5;5;5;5;5;5;5;5
"561";561;0;0;0;0;0;0;0;3;3
"562";562;0;0;0;0;0;0;4;4;4
"563";563;0;0;0;0;0;0;4;4;4
"564";564;0;0;0;0;0;0;4;4;4
"565";565;0;0;0;0;0;0;4;4;4
"566";566;0;0;0;0;0;0;4;4;4
"567";567;0;0;0;0;0;0;0;0;1
"568";568;5;5;5;5;5;5;5;5;5
"569";569;0;0;0;0;0;0;0;3;3
"570";570;0;0;0;0;0;0;0;3;3
"571";571;0;0;0;0;0;0;0;3;3
"572";572;0;0;0;0;0;0;0;3;3
"573";573;0;0;0;0;0;0;0;3;3
"574";574;0;0;0;0;0;0;0;3;3
"575";575;0;0;0;0;0;0;0;3;3
"576";576;5;5;5;5;5;5;5;5;5
"577";577;0;0;0;0;0;0;0;0;1
"578";578;5;5;5;5;5;5;5;5;5
"579";579;0;0;0;0;0;0;0;0;1
"580";580;0;0;0;0;0;0;0;0;1
"581";581;0;0;0;0;0;0;0;0;0
"582";582;0;0;0;0;0;0;0;0;1
"583";583;0;0;0;0;0;0;4;4;4
"584";584;0;0;0;0;0;0;4;4;4
"585";585;5;5;5;5;5;5;5;5;5
"586";586;0;0;0;0;0;0;0;2;2
"587";587;0;0;0;0;0;0;0;2;2
"588";588;0;0;0;0;0;0;0;2;2
"589";589;0;0;0;0;0;0;0;2;2
"590";590;0;0;0;0;0;0;0;2;2
"591";591;0;0;0;0;0;0;0;0;0
"592";592;5;5;5;5;5;5;5;5;5
"593";593;5;5;5;5;5;5;5;5;5
"594";594;0;0;0;0;0;0;0;3;3
"595";595;0;0;0;0;0;0;0;3;3
